url,houses,status
https://www.idealista.com/venta-viviendas/san-bartolome-de-tirajana/maspalomas-meloneras/mapa,149,0
https://www.idealista.com/venta-viviendas/san-bartolome-de-tirajana/montana-la-data-monte-leon/mapa,34,0
https://www.idealista.com/venta-viviendas/san-bartolome-de-tirajana/pasito-blanco-santa-agueda/mapa,6,0
https://www.idealista.com/venta-viviendas/san-bartolome-de-tirajana/playa-del-ingles/mapa,316,0
https://www.idealista.com/venta-viviendas/san-bartolome-de-tirajana/salobre-golf/mapa,38,0
https://www.idealista.com/venta-viviendas/san-bartolome-de-tirajana/san-agustin-bahia-feliz/mapa,121,0
https://www.idealista.com/venta-viviendas/san-bartolome-de-tirajana/san-bartolome-interior/mapa,53,0
https://www.idealista.com/venta-viviendas/san-bartolome-de-tirajana/san-fernando/mapa,116,0
https://www.idealista.com/venta-viviendas/san-bartolome-de-tirajana/sonnenland/mapa,66,0
https://www.idealista.com/venta-viviendas/las-palmas/gran-canaria/san-mateo-valsequillo/mapa,133,0
https://www.idealista.com/venta-viviendas/santa-brigida/casco-urbano/mapa,19,0
https://www.idealista.com/venta-viviendas/santa-brigida/la-angostura-los-olivos/mapa,19,0
https://www.idealista.com/venta-viviendas/santa-brigida/los-alvarados-fuente-los-berros/mapa,63,0
https://www.idealista.com/venta-viviendas/santa-brigida/monte-lentiscal-las-meleguinas/mapa,30,0
https://www.idealista.com/venta-viviendas/santa-brigida/portada-verde-lomo-espino-guanche/mapa,34,0
https://www.idealista.com/venta-viviendas/santa-brigida/san-jose-de-las-vegas-la-atalaya/mapa,42,0
https://www.idealista.com/venta-viviendas/santa-lucia-de-tirajana/el-doctoral/mapa,6,0
https://www.idealista.com/venta-viviendas/santa-lucia-de-tirajana/pozo-izquierdo/mapa,19,0
https://www.idealista.com/venta-viviendas/santa-lucia-de-tirajana/santa-lucia-pueblo/mapa,20,0
https://www.idealista.com/venta-viviendas/santa-lucia-de-tirajana/vecindario-centro-san-pedro-martir/mapa,31,0
https://www.idealista.com/venta-viviendas/santa-lucia-de-tirajana/vecindario-norte-cruce-sardina/mapa,127,0
https://www.idealista.com/venta-viviendas/santa-lucia-de-tirajana/vecindario-los-llanos/mapa,72,0
https://www.idealista.com/venta-viviendas/santa-lucia-de-tirajana/vecindario-paredilla-sardina/mapa,106,0
https://www.idealista.com/venta-viviendas/telde/callejon-del-castillo-el-calero-las-huesas/mapa,68,0
https://www.idealista.com/venta-viviendas/telde/caserones-la-higuera/mapa,36,0
https://www.idealista.com/venta-viviendas/telde/el-cortijo/mapa,6,0
https://www.idealista.com/venta-viviendas/telde/el-goro-ojos-de-garza/mapa,35,0
https://www.idealista.com/venta-viviendas/telde/jinamar/mapa,16,0
https://www.idealista.com/venta-viviendas/telde/la-garita-marpequena/mapa,69,0
https://www.idealista.com/venta-viviendas/telde/la-herradura-balcon-del-telde/mapa,45,0
https://www.idealista.com/venta-viviendas/telde/la-pardilla-san-antonio/mapa,34,0
https://www.idealista.com/venta-viviendas/telde/playa-del-hombre-taliarte-salinetas/mapa,34,0
https://www.idealista.com/venta-viviendas/telde/san-gregorio/mapa,92,0
https://www.idealista.com/venta-viviendas/telde/san-juan/mapa,28,0
https://www.idealista.com/venta-viviendas/telde/valle-de-los-nueve-el-ejido-medianias/mapa,36,0
https://www.idealista.com/venta-viviendas/teror/el-alamo-arbejales/mapa,19,0
https://www.idealista.com/venta-viviendas/teror/el-palmar/mapa,12,0
https://www.idealista.com/venta-viviendas/teror/san-jose-del-alamo-el-hornillo/mapa,18,0
https://www.idealista.com/venta-viviendas/teror/teror/mapa,65,0
